name,address,street,postal_code,city,canton,phone_number,professions,url,official_website,Zuweisung,Triggered_Keywords
Arud Zentrum für Suchtmedizin - Psychiatrie Sucht stationär,"Schützengasse 31, 8001 Zürich",Schützengasse 31,8001,Zürich,Zürich,058 360 50 00,"Hausarztmedizin (Allgemeinmedizin), Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/ewtp/arud-zentrum-fur-suchtmedizin-psychiatrie-sucht-stationar,,0,
Arud Zentrum Horgen - Drogenberatung,"Seestrasse 185, 8810 Horgen",Seestrasse 185,8810,Horgen,Zürich,058 360 50 80,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/horgen/ew11/arud-zentrum-horgen-drogenberatung,,0,
Ärztezentrum Limmatfeld,"Ueberlandstrasse 26, 8953 Dietikon",Ueberlandstrasse 26,8953,Dietikon,Zürich,044 745 17 90,"Allgemeine Innere Medizin, Chirurgie, Rheumatologie",https://www.onedoc.ch/de/spital/dietikon/eyra/arztezentrum-limmatfeld,https://www.aerztezentrum-limmatfeld.ch/,1,Zuweiser
Ärztezentrum Walk in Limmatfeld,"Ueberlandstrasse 26, 8953 Dietikon",Ueberlandstrasse 26,8953,Dietikon,Zürich,044 745 17 50,Radiologie,https://www.onedoc.ch/de/spital/dietikon/eyrv/arztezentrum-walk-in-limmatfeld,https://www.aerztezentrum-limmatfeld.ch/,1,Zuweiser
Beratung für Jugendliche BSJ - Kinder Psychiatrie,"Trollstrasse 18, 8400 Winterthur",Trollstrasse 18,8400,Winterthur,Zürich,052 267 68 55,"Kinder- und Jugendpsychiatrie, Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/winterthur/exxb/beratung-fur-jugendliche-bsj-kinder-psychiatrie,https://ipw.ch/storage/t3/f9eb4b211986dccb7c52cfcd3d87e0bd.PDF,0,
Blutspendezentrum Spital Männedorf,"Asylstrasse 10, 8708 Männedorf",Asylstrasse 10,8708,Männedorf,Zürich,044 922 23 45,Blutspende,https://www.onedoc.ch/de/spital/mannedorf/e4pp/blutspendezentrum-spital-mannedorf,,0,
Body Esthetic,"Seefeldstrasse 75 + 84, 8008 Zürich",Seefeldstrasse 75 + 84,8008,Zürich,Zürich,044 381 20 20,Allgemeine Innere Medizin,https://www.onedoc.ch/de/spital/zurich/exb0/body-esthetic,https://www.bodyesthetic.ch/,0,
C.G. Jung-Ambulatorium,"Arosastrasse 4, 8008 Zürich",Arosastrasse 4,8008,Zürich,Zürich,044 388 10 10,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/ewhv/c-g-jung-ambulatorium,https://www.cgjung-ambulatorium.ch/,0,
C.G. Jung-Ambulatorium - Andere,"Arosastrasse 4, 8008 Zürich",Arosastrasse 4,8008,Zürich,Zürich,044 388 10 10,"Kinder- und Jugendpsychiatrie, Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/ewoi/c-g-jung-ambulatorium-andere,https://www.cgjung-ambulatorium.ch/,0,
"Clienia, Kinder-u.Jugendpsych. - Kinder Psychiatrie","Neumarkt 4, 8400 Winterthur",Neumarkt 4,8400,Winterthur,Zürich,071 929 66 11,Kinder- und Jugendpsychiatrie,https://www.onedoc.ch/de/spital/winterthur/e0hx/clienia-kinder-u-jugendpsych-kinder-psychiatrie,,0,
Clienia Littenheid Ambulatorium für Kinder- und Jugendpsychiatrie und -psychotherapie,"Neumarkt 4, 8400 Winterthur",Neumarkt 4,8400,Winterthur,Zürich,071 929 66 11,Kinder- und Jugendpsychiatrie,https://www.onedoc.ch/de/spital/winterthur/evd7/clienia-littenheid-ambulatorium-fur-kinder-und-jugendpsychiatrie-und-psychotherapie,https://www.clienia.ch/assets/flipbooks/clienia-littenheid-kinder-und-jugendliche/16/,0,
Clienia Schlössli,"Schlösslistrasse 8, 8618 Oetwil am See",Schlösslistrasse 8,8618,Oetwil am See,Zürich,044 929 81 11,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/oetwil-am-see/e0xz/clienia-schlossli,https://www.clienia.ch/de/standorte/clienia-schloessli/,1,Zuweisung
Clienia Schlössli - Innere Medizin,"Schlösslistrasse 8, 8618 Oetwil am See",Schlösslistrasse 8,8618,Oetwil am See,Zürich,044 929 81 11,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin), Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/oetwil-am-see/ewq4/clienia-schlossli-innere-medizin,https://www.clienia.ch/de/standorte/clienia-schloessli/,1,Zuweisung
Clienia Schlössli - Psych. Ambulatorium,"Schlösslistrasse 8, 8618 Oetwil am See",Schlösslistrasse 8,8618,Oetwil am See,Zürich,044 934 45 45,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/oetwil-am-see/ew2i/clienia-schlossli-psych-ambulatorium,https://www.clienia.ch/de/standorte/clienia-schloessli/,1,Zuweisung
Fachspital Sune-Egge,"Konradstrasse 62, 8005 Zürich",Konradstrasse 62,8005,Zürich,Zürich,044 444 20 90,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/exw2/fachspital-sune-egge,https://fachspital.swsieber.ch/,1,"Zuweisung, Zuweiser"
"FMH Chirurgie, Dr. Stefan Breitenstein","Neue Winterthurerstrasse 99, 8304 Wallisellen",Neue Winterthurerstrasse 99,8304,Wallisellen,Zürich,052 266 56 56,Chirurgie,https://www.onedoc.ch/de/spital/wallisellen/exv5/fmh-chirurgie-dr-stefan-breitenstein,https://www.ksw.ch/team/prof-dr-med-stefan-breitenstein/,1,"Zuweisung, Überweisung"
"FMH Neurologie, Dr. Herbert Keller","Witellikerstrasse 40, 8008 Zürich",Witellikerstrasse 40,8008,Zürich,Zürich,044 387 39 25,Neurologie,https://www.onedoc.ch/de/spital/zurich/excr/fmh-neurologie-dr-herbert-keller,,0,
Gerontopsychiatrisches Zentrum Hegibach,"Minervastrasse 145, 8032 Zürich",Minervastrasse 145,8032,Zürich,Zürich,044 389 14 11,"Medizinische Genetik, Neurologie, Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/zurich/ezep/gerontopsychiatrisches-zentrum-hegibach,,0,
Gesundheitszentrum Dielsdorf - Chirurgie Allgemein,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 64 44,Chirurgie,https://www.onedoc.ch/de/spital/dielsdorf/exjo/gesundheitszentrum-dielsdorf-chirurgie-allgemein,,0,
Gesundheitszentrum Dielsdorf - Innere Medizin,"Breitestrasse 11, 8157 Dielsdorf",Breitestrasse 11,8157,Dielsdorf,Zürich,044 854 61 11,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/spital/dielsdorf/ewvj/gesundheitszentrum-dielsdorf-innere-medizin,,0,
GZO Spital Wetzikon,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, HNO (Hals-, Nasen-, Ohrenheilkunde), Kardiologie, Nuklearmedizin, Urologie",https://www.onedoc.ch/de/spital/wetzikon/ermc/gzo-spital-wetzikon,https://www.gzo.ch/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Anästhesie Allgemein,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Anästhesiologie, Intensivmedizin",https://www.onedoc.ch/de/spital/wetzikon/ey4e/gzo-spital-wetzikon-anasthesie-allgemein,https://www.gzo.ch/kliniken-zentren/departement-querschnitt/anaesthesie-und-schmerzmedizin,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Angiologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 269 80 28,"Allgemeine Innere Medizin, Angiologie",https://www.onedoc.ch/de/spital/wetzikon/expo/gzo-spital-wetzikon-angiologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/angiologie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Chirurgie Allgemein,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,Chirurgie,https://www.onedoc.ch/de/spital/wetzikon/e0wh/gzo-spital-wetzikon-chirurgie-allgemein,https://www.gzo.ch/kliniken-zentren/chirurgie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Chirurgie Hand,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,055 251 23 23,"Handchirurgie, Orthopädische Chirurgie",https://www.onedoc.ch/de/spital/wetzikon/exy8/gzo-spital-wetzikon-chirurgie-hand,https://www.gzo.ch/kliniken-zentren/chirurgie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Chirurgie Orthopädische,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 60 70,Orthopädische Chirurgie,https://www.onedoc.ch/de/spital/wetzikon/exga/gzo-spital-wetzikon-chirurgie-orthopadische,https://www.gzo.ch/kliniken-zentren/chirurgie/orthopaedie-und-traumatologie,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Chirurgie Viszeral,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,Chirurgie,https://www.onedoc.ch/de/spital/wetzikon/ex0x/gzo-spital-wetzikon-chirurgie-viszeral,https://www.gzo.ch/kliniken-zentren/chirurgie/viszeralchirurgie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Endokrinologie und Diabetologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Endokrinologie und Diabetologie",https://www.onedoc.ch/de/spital/wetzikon/e0ry/gzo-spital-wetzikon-endokrinologie-und-diabetologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/endokrinologie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Gastroenterologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Gastroenterologie",https://www.onedoc.ch/de/spital/wetzikon/e0zn/gzo-spital-wetzikon-gastroenterologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/gastroenterologie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Gynäkologische Klinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,Gynäkologie und Geburtshilfe,https://www.onedoc.ch/de/spital/wetzikon/e0u3/gzo-spital-wetzikon-gynakologische-klinik,https://www.gzo.ch/kliniken-zentren/departement-frau-und-kind/allgemeine-gynaekologie,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Infektiologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Infektiologie",https://www.onedoc.ch/de/spital/wetzikon/e007/gzo-spital-wetzikon-infektiologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/infektiologie,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Innere Medizin,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Intensivmedizin",https://www.onedoc.ch/de/spital/wetzikon/e0t5/gzo-spital-wetzikon-innere-medizin,https://www.gzo.ch/kliniken-zentren/departement-medizin/allgemeine-innere-medizin,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Kardiologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Intensivmedizin, Kardiologie",https://www.onedoc.ch/de/spital/wetzikon/e0y6/gzo-spital-wetzikon-kardiologie,https://www.gzo.ch/kardiologie,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Kinderklinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 24 32,Pädiatrie,https://www.onedoc.ch/de/spital/wetzikon/exky/gzo-spital-wetzikon-kinderklinik,https://www.gzo.ch/kliniken-zentren/departement-frau-und-kind/kinderarztpraxis,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Nephrologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Nephrologie",https://www.onedoc.ch/de/spital/wetzikon/e03j/gzo-spital-wetzikon-nephrologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/nephrologie-dialyse/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Neurologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 930 40 00,Neurologie,https://www.onedoc.ch/de/spital/wetzikon/exkb/gzo-spital-wetzikon-neurologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/neurologie-stroke-unit,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Notfallstation,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,Allgemeine Innere Medizin,https://www.onedoc.ch/de/spital/wetzikon/e0za/gzo-spital-wetzikon-notfallstation,https://www.gzo.ch/kliniken-zentren/notfallstation/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Onkologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Hämatologie, Medizinische Onkologie",https://www.onedoc.ch/de/spital/wetzikon/e0x2/gzo-spital-wetzikon-onkologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/onkologie-haematologie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Ophthalmologische Klinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,043 466 70 70,Augenheilkunde,https://www.onedoc.ch/de/spital/wetzikon/ew59/gzo-spital-wetzikon-ophthalmologische-klinik,,0,
GZO Spital Wetzikon - ORL Klinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,043 495 26 10,"HNO (Hals-, Nasen-, Ohrenheilkunde)",https://www.onedoc.ch/de/spital/wetzikon/exhh/gzo-spital-wetzikon-orl-klinik,https://www.gzo.ch/kliniken-zentren/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Palliativmedizin,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,0844 001 144,Anästhesiologie,https://www.onedoc.ch/de/spital/wetzikon/eym5/gzo-spital-wetzikon-palliativmedizin,https://www.gzo.ch/kliniken-zentren/departement-medizin/palliative-care,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Pneumologie,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,"Allgemeine Innere Medizin, Pneumologie",https://www.onedoc.ch/de/spital/wetzikon/ez5s/gzo-spital-wetzikon-pneumologie,https://www.gzo.ch/kliniken-zentren/departement-medizin/pneumologie/,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Radiologische Klinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,Radiologie,https://www.onedoc.ch/de/spital/wetzikon/e0uz/gzo-spital-wetzikon-radiologische-klinik,https://www.gzo.ch/kliniken-zentren/departement-querschnitt/radiologie-und-nuklearmedizin,1,"Zuweisung, Zuweiser"
GZO Spital Wetzikon - Rheumatologische Klinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 60 80,"Allgemeine Innere Medizin, Rheumatologie",https://www.onedoc.ch/de/spital/wetzikon/exue/gzo-spital-wetzikon-rheumatologische-klinik,,0,
GZO Spital Wetzikon - Urologische Klinik,"Spitalstrasse 66, 8620 Wetzikon",Spitalstrasse 66,8620,Wetzikon,Zürich,044 934 11 11,Urologie,https://www.onedoc.ch/de/spital/wetzikon/ez5a/gzo-spital-wetzikon-urologische-klinik,https://www.gzo.ch/kliniken-zentren/chirurgie/urologie/,1,"Zuweisung, Zuweiser"
Haus zur Pyramide,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,043 336 72 00,"Allgemeine Innere Medizin, Chirurgie, Plastische, rekonstruktive und ästhetische Chirurgie",https://www.onedoc.ch/de/spital/zurich/e00l/haus-zur-pyramide,https://pyramide.ch/,1,Zuweiser
Haus zur Pyramide - Chirurgie Allgemein,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,044 515 77 33,Chirurgie,https://www.onedoc.ch/de/spital/zurich/exi2/haus-zur-pyramide-chirurgie-allgemein,https://www.swissmedical.net/de/aerztezentren/medizinisches-zentrum-haus-zur-pyramide,1,für Ärzte
Haus zur Pyramide - Chirurgie Kiefer,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,043 336 72 72,"Mund-, Kiefer- und Gesichtschirurgie, Oralchirurgie",https://www.onedoc.ch/de/spital/zurich/exv7/haus-zur-pyramide-chirurgie-kiefer,https://pyramide.ch/ueber-uns/,1,Zuweiser
Haus zur Pyramide - Chirurgie Plastische,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,043 336 72 00,"Handchirurgie, Plastische, rekonstruktive und ästhetische Chirurgie",https://www.onedoc.ch/de/spital/zurich/ew0m/haus-zur-pyramide-chirurgie-plastische,https://pyramide.ch/,1,Zuweiser
Haus zur Pyramide - Phlebologie,"Klausstrasse 10, 8008 Zürich",Klausstrasse 10,8008,Zürich,Zürich,044 253 74 44,"Allgemeine Innere Medizin, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/spital/zurich/exdp/haus-zur-pyramide-phlebologie,,0,
"Horgen, Amb. Jugendpsychiatrie - Kinder Psychiatrie","Bahnhofstrasse 6, 8810 Horgen",Bahnhofstrasse 6,8810,Horgen,Zürich,044 578 60 50,"Kinder- und Jugendpsychiatrie, Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/horgen/exxc/horgen-amb-jugendpsychiatrie-kinder-psychiatrie,https://www.pukzh.ch/unsere-angebote/kinder-und-jugendpsychiatrie/behandlung-wo-und-wie/ambulatorien/ambulatorium-horgen/,1,"Zuweisung, Zuweiser"
Integrierte Psychiatrie Winterthur ipw - Integrierte Suchthilfe - Heroin- und Methadonbehandlung,"Tösstalstrasse 53, 8400 Winterthur",Tösstalstrasse 53,8400,Winterthur,Zürich,052 267 59 59,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/winterthur/ewgi/integrierte-psychiatrie-winterthur-ipw-integrierte-suchthilfe-heroin-und-methadonbehandlung,,0,
Integrierte Psychiatrie Winterthur ipw - Integrierte Suchthilfe Winterthur ISW,"Tösstalstrasse 19, 8400 Winterthur",Tösstalstrasse 19,8400,Winterthur,Zürich,052 267 59 59,"Psychiatrie, Psychotherapie",https://www.onedoc.ch/de/spital/winterthur/ewog/integrierte-psychiatrie-winterthur-ipw-integrierte-suchthilfe-winterthur-isw,https://ipw.ch/patienten-angehoerige/erwachsene/integrierte-suchthilfe-winterthur,1,Zuweisung
Kantonsspital Winterthur,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allgemeine Innere Medizin, HNO (Hals-, Nasen-, Ohrenheilkunde), Hämatologie, Kardiologie, Medizinische Onkologie, Radiologie",https://www.onedoc.ch/de/spital/winterthur/e0uv/kantonsspital-winterthur,https://www.ksw.ch/,1,"Zuweisung, Überweisung, Zuweiser"
Kantonsspital Winterthur - Anästhesie Allgemein,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allgemeine Innere Medizin, Angiologie, Anästhesiologie, Augenheilkunde, Chirurgie, Hausarztmedizin (Allgemeinmedizin), Intensivmedizin, Orthopädische Chirurgie",https://www.onedoc.ch/de/spital/winterthur/erml/kantonsspital-winterthur-anasthesie-allgemein,https://www.ksw.ch/fachabteilungen/anaesthesiologie/,1,"Zuweisung, Überweisung, Zuweiser"
Kantonsspital Winterthur - Angiologie,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allgemeine Innere Medizin, Angiologie",https://www.onedoc.ch/de/spital/winterthur/e0xy/kantonsspital-winterthur-angiologie,,0,
Kantonsspital Winterthur - Chirurgie Allgemein,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Chirurgie, Gefässchirurgie",https://www.onedoc.ch/de/spital/winterthur/e0wf/kantonsspital-winterthur-chirurgie-allgemein,,0,
Kantonsspital Winterthur - Chirurgie Kiefer,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 209 07 07,"Mund-, Kiefer- und Gesichtschirurgie, Oralchirurgie",https://www.onedoc.ch/de/spital/winterthur/exfg/kantonsspital-winterthur-chirurgie-kiefer,,0,
Kantonsspital Winterthur - Chirurgie Neuro,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,Neurochirurgie,https://www.onedoc.ch/de/spital/winterthur/e0y1/kantonsspital-winterthur-chirurgie-neuro,,0,
Kantonsspital Winterthur - Chirurgie Plastische,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Chirurgie, Handchirurgie, Plastische, rekonstruktive und ästhetische Chirurgie",https://www.onedoc.ch/de/spital/winterthur/ey4x/kantonsspital-winterthur-chirurgie-plastische,,0,
Kantonsspital Winterthur - Chirurgie Unfall,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Chirurgie, Orthopädische Chirurgie",https://www.onedoc.ch/de/spital/winterthur/e03k/kantonsspital-winterthur-chirurgie-unfall,,0,
Kantonsspital Winterthur - Chirurgie Viszeral,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Chirurgie, Herzchirurgie",https://www.onedoc.ch/de/spital/winterthur/e0ru/kantonsspital-winterthur-chirurgie-viszeral,,0,
Kantonsspital Winterthur - Dermatologische Klinik,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allergologie und Immunologie, Dermatologie und Venerologie",https://www.onedoc.ch/de/spital/winterthur/e0r3/kantonsspital-winterthur-dermatologische-klinik,,0,
Kantonsspital Winterthur - Dialysestation,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allgemeine Innere Medizin, Nephrologie",https://www.onedoc.ch/de/spital/winterthur/e0sh/kantonsspital-winterthur-dialysestation,,0,
Kantonsspital Winterthur - Endo/Diabetologie,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allgemeine Innere Medizin, Endokrinologie und Diabetologie",https://www.onedoc.ch/de/spital/winterthur/e0ve/kantonsspital-winterthur-endo-diabetologie,https://www.ksw.ch/fachabteilungen/endokrinologie-diabetologie/,1,"Zuweisung, Überweisung"
Kantonsspital Winterthur - Gastroenterologie,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Allgemeine Innere Medizin, Gastroenterologie, Hausarztmedizin (Allgemeinmedizin)",https://www.onedoc.ch/de/spital/winterthur/e0s6/kantonsspital-winterthur-gastroenterologie,,0,
Kantonsspital Winterthur - Gefässchirurgie,"Brauerstrasse 15, 8400 Winterthur",Brauerstrasse 15,8400,Winterthur,Zürich,052 266 21 21,"Chirurgie, Gefässchirurgie",https://www.onedoc.ch/de/spital/winterthur/e0bi/kantonsspital-winterthur-gefasschirurgie,https://www.ksw.ch/fachabteilungen/gefaesschirurgie/,1,"Zuweisung, Überweisung"
