name,address,street,postal_code,city,canton,phone,professions,official_website,google_search_url,type,url,Zuweisung,Triggered_Keywords
Ärztehaus Tannenhof - Hausarztpraxis,"Florastrasse 16, 8632 Tann",Florastrasse 16,8632,Tann,Zürich,055 555 30 00,"Allgemeine Innere Medizin, Kinder- und Jugendpsychiatrie",https://www.tannenhofpraxis.ch/,https://www.google.ch/search?q=Ärztehaus+Tannenhof+-+Hausarztpraxis+Tann,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/tann/ewmb/arztehaus-tannenhof-hausarztpraxis,0,
Arzthaus Zürich Enge,"Bederstrasse 4, 8002 Zürich",Bederstrasse 4,8002,Zürich,Zürich,044 800 30 20,"Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Kardiologie, Orthopädie, Orthopädische Chirurgie, 4D Schwangerschaftsultraschall, Aneurysma, Arbeitsmedizinische Vorsorgeuntersuchung, Arrhythmie, Arterielle Hypertonie, Arteriitis | Entzündung der Arterien, Arteriosklerose | Atherosklerose | Arterienverkalkung, Beckenbodenrehabilitation | Postpartale Rehabilitation | Urogenitale Rehabilitation, Brustkrebs | Mammakarzinom, Echokardiografie | Herzultraschall, Ergometrie | Belastungstest | Leistungstest, Gynäkologischer Notfall | Notfall Frauenarzt, Harnwegsinfektion | Zystitis | Blasenentzündung, Hausärztlicher Notfall, Herz-Kreislauf-Prävention | CardioCheck, Holter EKG | Langzeit-EKG, Humane Papillomaviren Impfung (HPV) | Gebärmutterhalskrebsimpfung, Impfberatung, Kolposkopie | Scheidenspiegelung, Langzeit-Blutdruck | 24h Blutdruckmessung, Schwangerschaftsultraschall, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1",https://www.arzthaus.ch/kontakt/zuerich-enge/,https://www.google.ch/search?q=Arzthaus+Zürich+Enge+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ebali/arzthaus-zurich-enge,0,
Aerzte Zentrum Erlenbach,"Drusbergstrasse 10, 8703 Erlenbach",Drusbergstrasse 10,8703,Erlenbach,Zürich,044 910 05 18,"Allgemeine Innere Medizin, Infektiologie",https://www.aerztezentrumerlenbach.ch/,https://www.google.ch/search?q=Aerzte+Zentrum+Erlenbach+Erlenbach,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/erlenbach/ewue/aerzte-zentrum-erlenbach,0,
ACAMED Medizinzentrum Dübendorf,"Ueberlandstrasse 212, 8600 Dübendorf",Ueberlandstrasse 212,8600,Dübendorf,Zürich,044 821 60 50,"Akupunktur, Allgemeine Innere Medizin, Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Psychiatrie, Psychotherapie, Traditionelle Chinesische Medizin (TCM)",https://acamed.ch/arzt-medizinzentrum-duebendorf/,https://www.google.ch/search?q=ACAMED+Medizinzentrum+Dübendorf+Dübendorf,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/dubendorf/ewgb/acamed-medizinzentrum-dubendorf,1,"zuweisung, überweisung"
Arzthaus Zürich Stadelhofen,"Goethestrasse 14, 8001 Zürich",Goethestrasse 14,8001,Zürich,Zürich,044 555 70 00,"Akupunktur, Allgemeine Innere Medizin, Dermatologie und Venerologie, Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Impfung, Kardiologie, Orthopädie, Orthopädische Chirurgie, Ästhetische Medizin, 4D Schwangerschaftsultraschall, Allergie | AllergoTest | Allergieabklärung, Aneurysma, Arbeitsmedizinische Vorsorgeuntersuchung, Arrhythmie, Arterielle Hypertonie, Arteriitis | Entzündung der Arterien, Arteriosklerose | Atherosklerose | Arterienverkalkung, Beckenbodenrehabilitation | Postpartale Rehabilitation | Urogenitale Rehabilitation, Behandlung von Pigmentflecken, Brustkrebs | Mammakarzinom, Dermatologischer Notfall | Notfall Hautarzt, Desensibilisierung | Hyposensibilisierung, Echokardiografie | Herzultraschall, Ekzem, Ergometrie | Belastungstest | Leistungstest, Gynäkologischer Notfall | Notfall Frauenarzt, Gürtelrose (Herpes Zoster) Impfung, Harnwegsinfektion | Zystitis | Blasenentzündung, Hausärztlicher Notfall, Hautcheck, Hepatitis A/B Impfung, Herz-Kreislauf-Prävention | CardioCheck, Holter EKG | Langzeit-EKG, Humane Papillomaviren Impfung (HPV) | Gebärmutterhalskrebsimpfung, Impfberatung, Kolposkopie | Scheidenspiegelung, Langzeit-Blutdruck | 24h Blutdruckmessung, Melanom, Microneedling, Schwangerschaftsultraschall, Schwangerschaftsvorsorge | Schwangerschaftsuntersuchung, Verkehrsmedizinische Kontrolluntersuchung STUFE 1, Vorsorgeuntersuchung Brustkrebs",https://www.arzthaus.ch/kontakt/praxis-stadelhofen/,https://www.google.ch/search?q=Arzthaus+Zürich+Stadelhofen+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewil/arzthaus-zurich-stadelhofen,1,überweisung
Augenärzte Zürich Zentrum Schaffhauserplatz,"Weinbergstrasse 161, 8006 Zürich",Weinbergstrasse 161,8006,Zürich,Zürich,043 333 44 44.,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Chalazion | Hagelkorn, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Hordeolum | Gerstenkorn, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenaerzte-zuerich.ch/,https://www.google.ch/search?q=Augenärzte+Zürich+Zentrum+Schaffhauserplatz+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e724/augenarzte-zurich-zentrum-schaffhauserplatz,1,zuweiser
Augenärzte Stäfa Zentrum Bahnhof,"Bahnhofstrasse 25, 8712 Stäfa",Bahnhofstrasse 25,8712,Stäfa,Zürich,044 926 30 90,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Chalazion | Hagelkorn, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Hordeolum | Gerstenkorn, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenaerzte-staefa.ch/augenarzt/,https://www.google.ch/search?q=Augenärzte+Stäfa+Zentrum+Bahnhof+Stäfa,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/stafa/e720/augenarzte-stafa-zentrum-bahnhof,1,zuweiser
Augenarztzentrum Standort Seefeld (Hirslanden),"Seefeldstrasse 214, 8008 Zürich",Seefeldstrasse 214,8008,Zürich,Zürich,044 980 80 80,"Augenchirurgie, Augenheilkunde, Optometrie, Rheumatologie, Ästhetische Medizin, Augencheck | Untersuchung der Sehkraft | Visustest, Blepharoplastik | Augenlidchirurgie, Brille, Glaukom | Grüner Star, Injektion von Botulinumtoxin, Katarakt | Grauer Star, Katarakt-Chirurgie | Grauer Star-Operation, Keratokonus | Hornhautkegel, Lasik | Augenlaserbehandlung, Orthoptikuntersuchung, Pädiatrische Ophthalmologie, Strabismus | Schielen, Trockene Augen",https://www.hirslanden.ch/de/klinik-hirslanden/centers/augenarztzentrum.html,https://www.google.ch/search?q=Augenarztzentrum+Standort+Seefeld+(Hirslanden)+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1s9/augenarztzentrum-standort-seefeld-hirslanden,1,"zuweiser, für ärzte"
Augenärzte Zentrum Winterthur,"Scheideggstrasse 33, 8404 Winterthur",Scheideggstrasse 33,8404,Winterthur,Zürich,052 242 38 38,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Chalazion | Hagelkorn, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Hordeolum | Gerstenkorn, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augentagesklinik-winterthur.ch/,https://www.google.ch/search?q=Augenärzte+Zentrum+Winterthur+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/eba31/augenarzte-zentrum-winterthur,0,
Augenzentrum Glattbrugg,"Schaffhauserstrasse 110, 8152 Glattbrugg",Schaffhauserstrasse 110,8152,Glattbrugg,Zürich,044 810 08 88,Augenheilkunde,https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-glattbrugg/,https://www.google.ch/search?q=Augenzentrum+Glattbrugg+Glattbrugg,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/glattbrugg/ex3e/augenzentrum-glattbrugg,1,zuweiser
Augenzentrum IROC,"Stockerstrasse 37, 8002 Zürich",Stockerstrasse 37,8002,Zürich,Zürich,043 488 38 00,Augenheilkunde,https://www.iroc.ch/,https://www.google.ch/search?q=Augenzentrum+IROC+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/exk4/augenzentrum-iroc,0,
Augenärzte Zürich Zentrum Wallisellen,"Bahnhofplatz 2, 8304 Wallisellen",Bahnhofplatz 2,8304,Wallisellen,Zürich,044 836 66 66,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Chalazion | Hagelkorn, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Hordeolum | Gerstenkorn, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenaerzte-wallisellen.ch/,https://www.google.ch/search?q=Augenärzte+Zürich+Zentrum+Wallisellen+Wallisellen,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/e725/augenarzte-zurich-zentrum-wallisellen,1,zuweiser
Augenärzte Wetzikon Zentrum Leue,"Bahnhofstrasse 150, 8620 Wetzikon",Bahnhofstrasse 150,8620,Wetzikon,Zürich,044 930 44 14,Unknown,https://www.augenaerzte-wetzikon.ch/augenarzt/,https://www.google.ch/search?q=Augenärzte+Wetzikon+Zentrum+Leue+Wetzikon,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e721/augenarzte-wetzikon-zentrum-leue,1,zuweiser
Augenzentrum ONO Bülach,"Sechtbachweg 2, 8180 Bülach",Sechtbachweg 2,8180,Bülach,Zürich,044 862 11 77,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Lasik | Augenlaserbehandlung, Trockene Augen",https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-bulach/,https://www.google.ch/search?q=Augenzentrum+ONO+Bülach+Bülach,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/bulach/e9e0/augenzentrum-ono-bulach,1,zuweiser
Augentagesklinik Zürich Oberland,"Bahnhofstrasse 137, 8620 Wetzikon",Bahnhofstrasse 137,8620,Wetzikon,Zürich,044 934 33 33,"Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Chalazion | Hagelkorn, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Hordeolum | Gerstenkorn, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augentagesklinik-oberland.ch/augenarzt/,https://www.google.ch/search?q=Augentagesklinik+Zürich+Oberland+Wetzikon,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/e722/augentagesklinik-zurich-oberland,1,zuweiser
Augenarztzentrum Standort Limmatquai,"Limmatquai 94, 8001 Zürich",Limmatquai 94,8001,Zürich,Zürich,044 257 10 74,"Augenchirurgie, Augenheilkunde, Optometrie, Rheumatologie, Ästhetische Medizin, Augencheck | Untersuchung der Sehkraft | Visustest, Blepharoplastik | Augenlidchirurgie, Brille, Glaukom | Grüner Star, Injektion von Botulinumtoxin, Katarakt | Grauer Star, Katarakt-Chirurgie | Grauer Star-Operation, Keratokonus | Hornhautkegel, Lasik | Augenlaserbehandlung, Orthoptikuntersuchung, Pädiatrische Ophthalmologie, Strabismus | Schielen, Trockene Augen",https://www.augenarztzentrum.ch/limmatquai,https://www.google.ch/search?q=Augenarztzentrum+Standort+Limmatquai+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/e1s8/augenarztzentrum-standort-limmatquai,1,"zuweisung, zuweiser"
Augenzentrum ONO Pfäffikon,"Turmstrasse 3, 8330 Pfäffikon ZH",Turmstrasse 3,8330,Pfäffikon ZH,Zürich,044 951 01 02,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-pfaeffikon-zh/,https://www.google.ch/search?q=Augenzentrum+ONO+Pfäffikon+Pfäffikon+ZH,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/pfaffikon/e4jc/augenzentrum-ono-pfaffikon,1,zuweiser
Augenzentrum Volketswil Hofwiesenstrasse 4b Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Hofwiesenstrasse 4b,8604,Volketswil,Zürich,044 908 57 57,Unknown,https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-volketswil/,https://www.google.ch/search?q=Augenzentrum+Volketswil+Hofwiesenstrasse+4b+Volketswil+Volketswil,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/e03f/augenzentrum-volketswil-hofwiesenstrasse-4b-volketswil,1,zuweiser
Augenzentrum Watt,"Dorfstrasse 53, 8105 Watt",Dorfstrasse 53,8105,Watt,Zürich,044 555 45 45,Augenheilkunde,,https://www.google.ch/search?q=Augenzentrum+Watt+Watt,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/watt/exaz/augenzentrum-watt,0,
Augenzentrum ONO Volketswil,"Hofwiesenstrasse 4b, 8604 Volketswil",Hofwiesenstrasse 4b,8604,Volketswil,Zürich,044 908 57 57,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-volketswil/,https://www.google.ch/search?q=Augenzentrum+ONO+Volketswil+Volketswil,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/volketswil/e1qt/augenzentrum-ono-volketswil,1,zuweiser
Augenzentrum ONO Wallisellen,"Neue Winterthurerstrasse 99, 8304 Wallisellen",Neue Winterthurerstrasse 99,8304,Wallisellen,Zürich,044 878 70 70,"Augenchirurgie, Augenheilkunde, Altersbedingte Makuladegeneration | AMD, Augencheck | Untersuchung der Sehkraft | Visustest, Blepharoplastik | Augenlidchirurgie, Funduskopie | Ophthalmoskopie | Augenspiegelung | Spaltlampenuntersuchung, Glaukom | Grüner Star, Glaukom-Chirurgie | Grüner Star-Operation, Katarakt | Grauer Star, Katarakt-Chirurgie | Grauer Star-Operation, Lasik | Augenlaserbehandlung, Netzhautchirurgie, Ophthalmo-Diabetologie, Uveitis, Vorsorgeuntersuchung Diabetische Retinopathie",https://www.augenzentrum-ono.ch/zentrum/augen-glattzentrum-ono-wallisellen/,https://www.google.ch/search?q=Augenzentrum+ONO+Wallisellen+Wallisellen,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/wallisellen/eudu/augenzentrum-ono-wallisellen,1,zuweiser
Bachtelpraxis,"Ettenhauserstrasse 13, 8620 Wetzikon",Ettenhauserstrasse 13,8620,Wetzikon,Zürich,044 930 30 02,Allgemeine Innere Medizin,https://www.bachtelpraxis.ch/,https://www.google.ch/search?q=Bachtelpraxis+Wetzikon,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/wetzikon/ew29/bachtelpraxis,0,
B3-Praxis am Bahnhofplatz,"Bahnhofplatz 3, 8001 Zürich",Bahnhofplatz 3,8001,Zürich,Zürich,044 838 68 68,"Allgemeine Innere Medizin, Dermatologie und Venerologie, Gynäkologie und Geburtshilfe, Hausarztmedizin (Allgemeinmedizin), Orthopädische Chirurgie",https://b3-praxis.ch/,https://www.google.ch/search?q=B3-Praxis+am+Bahnhofplatz+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et1l/b3-praxis-am-bahnhofplatz,1,für ärzte
Augenzentrum ONO Winterthur,"Oberfeldstrasse 158, 8408 Winterthur",Oberfeldstrasse 158,8408,Winterthur,Zürich,052 222 07 40,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-winterthur/,https://www.google.ch/search?q=Augenzentrum+ONO+Winterthur+Winterthur,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/winterthur/e9e1/augenzentrum-ono-winterthur,1,zuweiser
Augenzentrum Wiedikon,"Birmensdorferstrasse 55, 8005 Zürich",Birmensdorferstrasse 55,8005,Zürich,Zürich,044 461 54 44,Augenheilkunde,https://augenzentrum-wiedikon.ch/,https://www.google.ch/search?q=Augenzentrum+Wiedikon+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/eued/augenzentrum-wiedikon,1,zuweisung
Augenzentrum ONO Glattbrugg,"Schaffhauserstrasse 110, 8152 Opfikon",Schaffhauserstrasse 110,8152,Opfikon,Zürich,044 810 08 88,"Augenheilkunde, Augencheck | Untersuchung der Sehkraft | Visustest, Glaukom | Grüner Star, Katarakt | Grauer Star, Konjunktivitis | Bindehautentzündung, Trockene Augen",https://www.augenzentrum-ono.ch/zentrum/augenzentrum-ono-glattbrugg/,https://www.google.ch/search?q=Augenzentrum+ONO+Glattbrugg+Opfikon,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/opfikon/e1qr/augenzentrum-ono-glattbrugg,1,zuweiser
Dermatologisches Zentrum Zürich,"Beckenhofstrasse 6, 8006 Zürich",Beckenhofstrasse 6,8006,Zürich,Zürich,043 443 11 55,"Dermatologie und Venerologie, Hausarztmedizin (Allgemeinmedizin)",https://www.dermazentrumzuerich.ch/,https://www.google.ch/search?q=Dermatologisches+Zentrum+Zürich+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/ewjz/dermatologisches-zentrum-zurich,0,
Chirurgisches Zentrum Zürich,"Witellikerstrasse 40, 8032 Zürich",Witellikerstrasse 40,8032,Zürich,Zürich,044 387 37 00,"Chirurgie, Herzchirurgie, Viszeralchirurgie",https://www.hirslanden.ch/de/klinik-hirslanden/centers/chirurgisches-zentrum-zuerich.html,https://www.google.ch/search?q=Chirurgisches+Zentrum+Zürich+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/et5f/chirurgisches-zentrum-zurich,1,"zuweiser, für ärzte"
Bergpraxis,"Bergstrasse 1, 8816 Hirzel",Bergstrasse 1,8816,Hirzel,Zürich,044 729 72 72,Allgemeine Innere Medizin,https://bergpraxis.ch/,https://www.google.ch/search?q=Bergpraxis+Hirzel,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/hirzel/ewzf/bergpraxis,0,
Dermatologikum Zürich,"Wallisellenstrasse 301a, 8050 Zürich",Wallisellenstrasse 301a,8050,Zürich,Zürich,044 377 30 60,"Allergologie und Immunologie, Allgemeine Innere Medizin, Arbeitsmedizin, Dermatologie und Venerologie, Pneumologie",https://www.dermatologikum.swiss/,https://www.google.ch/search?q=Dermatologikum+Zürich+Zürich,Gruppenpraxis,https://www.onedoc.ch/de/medizinisches-zentrum/zurich/euqs/dermatologikum-zurich,0,
